TITLE,URL,SECTION,TOKENIZED_TITLE
Turbo C++ 3.1 Code Example For A List Box,https://cplusplus.com/articles/2bqpX9L8/,articles,"['Turbo', 'C++', '3.1', 'Code', 'Example', 'For', 'A', 'List', 'Box']"
Making a Plugin System,https://cplusplus.com/articles/48TbqMoL/,articles,"['Making', 'a', 'Plugin', 'System']"
Borland C++ 5.02 Code For A Print Preview Window,https://cplusplus.com/articles/y7Mf92yv/,articles,"['Borland', 'C++', '5.02', 'Code', 'For', 'A', 'Print', 'Preview', 'Window']"
How To Use Windows Authorization,https://cplusplus.com/articles/2ACRko23/,articles,"['How', 'To', 'Use', 'Windows', 'Authorization']"
MemCache++: An example of modern C++ design,https://cplusplus.com/articles/iTUq5Di1/,articles,"['MemCache++', ':', 'An', 'example', 'of', 'modern', 'C++', 'design']"
Difference between an IDE and Compiler,https://cplusplus.com/articles/o8TbqMoL/,articles,"['Difference', 'between', 'an', 'IDE', 'and', 'Compiler']"
"std::vectors, not dynamic arrays!",https://cplusplus.com/articles/37Mf92yv/,articles,"['std', ':', ':vectors', ',', 'not', 'dynamic', 'arrays', '!']"
Effective Keylogger,https://cplusplus.com/articles/EbqpX9L8/,articles,"['Effective', 'Keylogger']"
Linked Lists,https://cplusplus.com/articles/LACRko23/,articles,"['Linked', 'Lists']"
Compiling and Linking in C++,https://cplusplus.com/articles/2v07M4Gy/,articles,"['Compiling', 'and', 'Linking', 'in', 'C++']"
Helpful Function for the Registry,https://cplusplus.com/articles/o36AC542/,articles,"['Helpful', 'Function', 'for', 'the', 'Registry']"
Powerball lottery Simulator,https://cplusplus.com/articles/4yhv0pDG/,articles,"['Powerball', 'lottery', 'Simulator']"
Recursive linked Hanoy Tower,https://cplusplus.com/articles/EACRko23/,articles,"['Recursive', 'linked', 'Hanoy', 'Tower']"
(By Disch) Don't write any variable larger than 1 byte to binary files,https://cplusplus.com/articles/oyhv0pDG/,articles,"['(', 'By', 'Disch', ')', 'Do', ""n't"", 'write', 'any', 'variable', 'larger', 'than', '1', 'byte', 'to', 'binary', 'files']"
C++ console game!,https://cplusplus.com/articles/3Cpk4iN6/,articles,"['C++', 'console', 'game', '!']"
Ternary search.,https://cplusplus.com/articles/yU75fSEw/,articles,"['Ternary', 'search', '.']"
How to develop an operating system using C++?,https://cplusplus.com/articles/zv07M4Gy/,articles,"['How', 'to', 'develop', 'an', 'operating', 'system', 'using', 'C++', '?']"
The Big Calculator Gone Crazy,https://cplusplus.com/articles/2hA0RXSz/,articles,"['The', 'Big', 'Calculator', 'Gone', 'Crazy']"
BMP Loader,https://cplusplus.com/articles/GwvU7k9E/,articles,"['BMP', 'Loader']"
Grounded Pointers,https://cplusplus.com/articles/91wTURfi/,articles,"['Grounded', 'Pointers']"
Snake Cpp [Console],https://cplusplus.com/articles/3U75fSEw/,articles,"['Snake', 'Cpp', '[', 'Console', ']']"
Xistenial's TUTS Classes and Objects Lesson 1,https://cplusplus.com/articles/zTUq5Di1/,articles,"['Xistenial', ""'s"", 'TUTS', 'Classes', 'and', 'Objects', 'Lesson', '1']"
The Element Project (v1),https://cplusplus.com/articles/3bqpX9L8/,articles,"['The', 'Element', 'Project', '(', 'v1', ')']"
TIC-TAC-TOE C++,https://cplusplus.com/articles/1v07M4Gy/,articles,"['TIC-TAC-TOE', 'C++']"
Wade Not in Unknown C++ Waters. Part Four.,https://cplusplus.com/articles/LwvU7k9E/,articles,"['Wade', 'Not', 'in', 'Unknown', 'C++', 'Waters', '.', 'Part', 'Four', '.']"
how can i use command line in my application?,https://cplusplus.com/articles/G36AC542/,articles,"['how', 'can', 'i', 'use', 'command', 'line', 'in', 'my', 'application', '?']"
[WIP] Genetic algorithms,https://cplusplus.com/articles/4L18T05o/,articles,"['[', 'WIP', ']', 'Genetic', 'algorithms']"
Recursion,https://cplusplus.com/articles/D2N36Up4/,articles,['Recursion']
Use of TCHAR in Visual C++,https://cplusplus.com/articles/yv07M4Gy/,articles,"['Use', 'of', 'TCHAR', 'in', 'Visual', 'C++']"
Use of "stdafx.h",https://cplusplus.com/articles/1TUq5Di1/,articles,"['Use', 'of', '``', 'stdafx.h', ""''""]"
Beginners guide to the std::sort() function,https://cplusplus.com/articles/NhA0RXSz/,articles,"['Beginners', 'guide', 'to', 'the', 'std', ':', ':sort', '(', ')', 'function']"
Simple port scanner,https://cplusplus.com/articles/o2N36Up4/,articles,"['Simple', 'port', 'scanner']"
log4z v1.2.0 stable version publish,https://cplusplus.com/articles/E36AC542/,articles,"['log4z', 'v1.2.0', 'stable', 'version', 'publish']"
Features of C99,https://cplusplus.com/articles/iz3hAqkS/,articles,"['Features', 'of', 'C99']"
How to use code tags,https://cplusplus.com/articles/jEywvCM9/,articles,"['How', 'to', 'use', 'code', 'tags']"
Add color to your console 2,https://cplusplus.com/articles/Eyhv0pDG/,articles,"['Add', 'color', 'to', 'your', 'console', '2']"
SQLite Wrapper for C++,https://cplusplus.com/articles/jL18T05o/,articles,"['SQLite', 'Wrapper', 'for', 'C++']"
LZW file compressor,https://cplusplus.com/articles/iL18T05o/,articles,"['LZW', 'file', 'compressor']"
Subnet Calculator,https://cplusplus.com/articles/4S2z3TCk/,articles,"['Subnet', 'Calculator']"
Simple console logger,https://cplusplus.com/articles/z1wTURfi/,articles,"['Simple', 'console', 'logger']"
log4z v1.0.0,https://cplusplus.com/articles/STbCpfjN/,articles,"['log4z', 'v1.0.0']"
Non-recursive traversal of n-trees,https://cplusplus.com/articles/4wTbqMoL/,articles,"['Non-recursive', 'traversal', 'of', 'n-trees']"
log4z v0.9.0,https://cplusplus.com/articles/yRMf92yv/,articles,"['log4z', 'v0.9.0']"
Brainf*ck-to-C translator,https://cplusplus.com/articles/2bCRko23/,articles,"['Brainf', '*', 'ck-to-C', 'translator']"
A customizable Asteroids game.,https://cplusplus.com/articles/GA07M4Gy/,articles,"['A', 'customizable', 'Asteroids', 'game', '.']"
Make,https://cplusplus.com/articles/jTbCpfjN/,articles,['Make']
Caesar cipher,https://cplusplus.com/articles/9hvU7k9E/,articles,"['Caesar', 'cipher']"
Animated checkers game using SFML,https://cplusplus.com/articles/486AC542/,articles,"['Animated', 'checkers', 'game', 'using', 'SFML']"
"Animated card game (Rummy), user vs. PC",https://cplusplus.com/articles/D3hv0pDG/,articles,"['Animated', 'card', 'game', '(', 'Rummy', ')', ',', 'user', 'vs.', 'PC']"
Learn design patterns from real projects: RigsOfRods case study.,https://cplusplus.com/articles/SwTbqMoL/,articles,"['Learn', 'design', 'patterns', 'from', 'real', 'projects', ':', 'RigsOfRods', 'case', 'study', '.']"
format integers with commas separator using only chars,https://cplusplus.com/articles/986AC542/,articles,"['format', 'integers', 'with', 'commas', 'separator', 'using', 'only', 'chars']"
Using Pointers 3 dfferent ways,https://cplusplus.com/articles/D186b7Xj/,articles,"['Using', 'Pointers', '3', 'dfferent', 'ways']"
Pointers and References,https://cplusplus.com/articles/1075fSEw/,articles,"['Pointers', 'and', 'References']"
A string with the split() method,https://cplusplus.com/articles/1UqpX9L8/,articles,"['A', 'string', 'with', 'the', 'split', '(', ')', 'method']"
Debugging using gdb: Find a segFault,https://cplusplus.com/articles/iwTbqMoL/,articles,"['Debugging', 'using', 'gdb', ':', 'Find', 'a', 'segFault']"
How to split text into two or more characters,https://cplusplus.com/articles/4N3hAqkS/,articles,"['How', 'to', 'split', 'text', 'into', 'two', 'or', 'more', 'characters']"
Disch's tutorial to good binary files,https://cplusplus.com/articles/DzywvCM9/,articles,"['Disch', ""'s"", 'tutorial', 'to', 'good', 'binary', 'files']"
How I Used My C++ Programming Technique To Convert A Numerical Amount To A Verbal Amount,https://cplusplus.com/articles/i86AC542/,articles,"['How', 'I', 'Used', 'My', 'C++', 'Programming', 'Technique', 'To', 'Convert', 'A', 'Numerical', 'Amount', 'To', 'A', 'Verbal', 'Amount']"
Integer overflow,https://cplusplus.com/articles/DE18T05o/,articles,"['Integer', 'overflow']"
Using HMENU,https://cplusplus.com/articles/LhvU7k9E/,articles,"['Using', 'HMENU']"
priority_queue,https://cplusplus.com/articles/1vUq5Di1/,articles,['priority_queue']
C++11 - New features - Variadic templates,https://cplusplus.com/articles/EhvU7k9E/,articles,"['C++11', '-', 'New', 'features', '-', 'Variadic', 'templates']"
How to split text into two or more characters,https://cplusplus.com/articles/286AC542/,articles,"['How', 'to', 'split', 'text', 'into', 'two', 'or', 'more', 'characters']"
Into to Quantum Computing,https://cplusplus.com/articles/3A07M4Gy/,articles,"['Into', 'to', 'Quantum', 'Computing']"
Static code analysis,https://cplusplus.com/articles/9E18T05o/,articles,"['Static', 'code', 'analysis']"
PointersSimplified,https://cplusplus.com/articles/DGE1wA7f/,articles,['PointersSimplified']
Add color to your console window,https://cplusplus.com/articles/2ywTURfi/,articles,"['Add', 'color', 'to', 'your', 'console', 'window']"
cplusplus.com source codes,https://cplusplus.com/articles/G186b7Xj/,articles,"['cplusplus.com', 'source', 'codes']"
Input correction,https://cplusplus.com/articles/iN3hAqkS/,articles,"['Input', 'correction']"
Password Creator (In C),https://cplusplus.com/articles/1hvU7k9E/,articles,"['Password', 'Creator', '(', 'In', 'C', ')']"
Hex viewer,https://cplusplus.com/articles/NwTbqMoL/,articles,"['Hex', 'viewer']"
WinAPI source codes,https://cplusplus.com/articles/SLN36Up4/,articles,"['WinAPI', 'source', 'codes']"
A win32 multi-function stopwatch using SFML,https://cplusplus.com/articles/oGE1wA7f/,articles,"['A', 'win32', 'multi-function', 'stopwatch', 'using', 'SFML']"
ROT13 cypher,https://cplusplus.com/articles/4iLN8vqX/,articles,"['ROT13', 'cypher']"
Simple Error Logging,https://cplusplus.com/articles/Dj2z3TCk/,articles,"['Simple', 'Error', 'Logging']"
XOR Encryption,https://cplusplus.com/articles/36A0RXSz/,articles,"['XOR', 'Encryption']"
Password Creator,https://cplusplus.com/articles/yhvU7k9E/,articles,"['Password', 'Creator']"
Decimal to radix conversion,https://cplusplus.com/articles/1wTbqMoL/,articles,"['Decimal', 'to', 'radix', 'conversion']"
Random number generator,https://cplusplus.com/articles/EywTURfi/,articles,"['Random', 'number', 'generator']"
How to save your time writing a C++ code in Microsoft Visual Studio 11?,https://cplusplus.com/articles/2N3hAqkS/,articles,"['How', 'to', 'save', 'your', 'time', 'writing', 'a', 'C++', 'code', 'in', 'Microsoft', 'Visual', 'Studio', '11', '?']"
paranthesis checker,https://cplusplus.com/articles/GzywvCM9/,articles,"['paranthesis', 'checker']"
Maximum of three numbers? (For Beginners),https://cplusplus.com/articles/S2zyhbRD/,articles,"['Maximum', 'of', 'three', 'numbers', '?', '(', 'For', 'Beginners', ')']"
How to Handle exception at C++ constructor using Boost's Shared Ptr,https://cplusplus.com/articles/3wTbqMoL/,articles,"['How', 'to', 'Handle', 'exception', 'at', 'C++', 'constructor', 'using', 'Boost', ""'s"", 'Shared', 'Ptr']"
Pointer craft,https://cplusplus.com/articles/z186b7Xj/,articles,"['Pointer', 'craft']"
Pointers,https://cplusplus.com/articles/EN3hAqkS/,articles,['Pointers']
Sample Snake Game in C,https://cplusplus.com/articles/i2zyhbRD/,articles,"['Sample', 'Snake', 'Game', 'in', 'C']"
How To Learn The Basics Of C++ Part 2/5,https://cplusplus.com/articles/386AC542/,articles,"['How', 'To', 'Learn', 'The', 'Basics', 'Of', 'C++', 'Part', '2/5']"
How To Learn The Basics Of C++ Part 1/5,https://cplusplus.com/articles/1ywTURfi/,articles,"['How', 'To', 'Learn', 'The', 'Basics', 'Of', 'C++', 'Part', '1/5']"
C++11 improvements over C++03,https://cplusplus.com/articles/EzywvCM9/,articles,"['C++11', 'improvements', 'over', 'C++03']"
Template parameter deduction from array dimensions,https://cplusplus.com/articles/D4SGz8AR/,articles,"['Template', 'parameter', 'deduction', 'from', 'array', 'dimensions']"
Explicit Template Instantiation,https://cplusplus.com/articles/1C75fSEw/,articles,"['Explicit', 'Template', 'Instantiation']"
Decorating objects with templates,https://cplusplus.com/articles/N0qpX9L8/,articles,"['Decorating', 'objects', 'with', 'templates']"
Alternative Construction Methods,https://cplusplus.com/articles/2NywvCM9/,articles,"['Alternative', 'Construction', 'Methods']"
Secrets of Boost Revealed: Checked Delete,https://cplusplus.com/articles/N8hv0pDG/,articles,"['Secrets', 'of', 'Boost', 'Revealed', ':', 'Checked', 'Delete']"
C++0x Suffix Return Types,https://cplusplus.com/articles/z3wTURfi/,articles,"['C++0x', 'Suffix', 'Return', 'Types']"
Visual Studio 2008 / 2010 GOTCHA's,https://cplusplus.com/articles/yhTbqMoL/,articles,"['Visual', 'Studio', '2008', '/', '2010', 'GOTCHA', ""'s""]"
"map< string, Obj > vs map< string, Obj* >",https://cplusplus.com/articles/4i2z3TCk/,articles,"['map', '<', 'string', ',', 'Obj', '>', 'vs', 'map', '<', 'string', ',', 'Obj', '*', '>']"
How to Make a Game,https://cplusplus.com/articles/1w6AC542/,articles,"['How', 'to', 'Make', 'a', 'Game']"
Rounding Algorithms - Discussion,https://cplusplus.com/articles/213hAqkS/,articles,"['Rounding', 'Algorithms', '-', 'Discussion']"
Linked List Template and Binary Search Tree,https://cplusplus.com/articles/E3wTURfi/,articles,"['Linked', 'List', 'Template', 'and', 'Binary', 'Search', 'Tree']"
Searching And Sorting,https://cplusplus.com/articles/z8hv0pDG/,articles,"['Searching', 'And', 'Sorting']"
Why you should NOT delete your posts after getting an answer.,https://cplusplus.com/articles/oGLN8vqX/,articles,"['Why', 'you', 'should', 'NOT', 'delete', 'your', 'posts', 'after', 'getting', 'an', 'answer', '.']"
"""How to Ask Questions"": Itemized thread/rehash",https://cplusplus.com/articles/jEN36Up4/,articles,"['``', 'How', 'to', 'Ask', 'Questions', ""''"", ':', 'Itemized', 'thread/rehash']"
Moving along lines,https://cplusplus.com/articles/o2E1wA7f/,articles,"['Moving', 'along', 'lines']"
Simple XOR encryption,https://cplusplus.com/articles/Ly86b7Xj/,articles,"['Simple', 'XOR', 'encryption']"
Why we've deprecated Bloodshed Dev-C++.,https://cplusplus.com/articles/36vU7k9E/,articles,"['Why', 'we', ""'ve"", 'deprecated', 'Bloodshed', 'Dev-C++', '.']"
"Powerful Console in Windows/VC++ (Color, Cursor, ...)",https://cplusplus.com/articles/SEN36Up4/,articles,"['Powerful', 'Console', 'in', 'Windows/VC++', '(', 'Color', ',', 'Cursor', ',', '...', ')']"
How to choose the correct section to post in,https://cplusplus.com/articles/9EN36Up4/,articles,"['How', 'to', 'choose', 'the', 'correct', 'section', 'to', 'post', 'in']"
How to google,https://cplusplus.com/articles/16vU7k9E/,articles,"['How', 'to', 'google']"
Why we are a bunch of tough lovers.,https://cplusplus.com/articles/DjGEy60M/,articles,"['Why', 'we', 'are', 'a', 'bunch', 'of', 'tough', 'lovers', '.']"
When to use what language and why,https://cplusplus.com/articles/42E1wA7f/,articles,"['When', 'to', 'use', 'what', 'language', 'and', 'why']"
Debugging Your Program,https://cplusplus.com/articles/23wTURfi/,articles,"['Debugging', 'Your', 'Program']"
The Console is a Terrible Medium for Games,https://cplusplus.com/articles/G13hAqkS/,articles,"['The', 'Console', 'is', 'a', 'Terrible', 'Medium', 'for', 'Games']"
Cleaner code,https://cplusplus.com/articles/Gy86b7Xj/,articles,"['Cleaner', 'code']"
use new to allocate a structure array,https://cplusplus.com/articles/Ew6AC542/,articles,"['use', 'new', 'to', 'allocate', 'a', 'structure', 'array']"
generate any possible password in lowercase alpha,https://cplusplus.com/articles/L8hv0pDG/,articles,"['generate', 'any', 'possible', 'password', 'in', 'lowercase', 'alpha']"
Sorting Algorithms,https://cplusplus.com/articles/1TA0RXSz/,articles,"['Sorting', 'Algorithms']"
Distinguish between pointers and references in C++,https://cplusplus.com/articles/ENywvCM9/,articles,"['Distinguish', 'between', 'pointers', 'and', 'references', 'in', 'C++']"
Comparison of popular compilers and IDEs,https://cplusplus.com/articles/Lz18T05o/,articles,"['Comparison', 'of', 'popular', 'compilers', 'and', 'IDEs']"
"QxOrm : Persistence (ORM), Serialization, Reflection",https://cplusplus.com/articles/D2E1wA7f/,articles,"['QxOrm', ':', 'Persistence', '(', 'ORM', ')', ',', 'Serialization', ',', 'Reflection']"
Bison Tracking,https://cplusplus.com/articles/4LzyhbRD/,articles,"['Bison', 'Tracking']"
Printer Stream,https://cplusplus.com/articles/9z18T05o/,articles,"['Printer', 'Stream']"
stdiostream,https://cplusplus.com/articles/3AUq5Di1/,articles,['stdiostream']
Top 10 tips for code porting c/c++,https://cplusplus.com/articles/iy86b7Xj/,articles,"['Top', '10', 'tips', 'for', 'code', 'porting', 'c/c++']"
My way to make a game map in the console.,https://cplusplus.com/articles/j13hAqkS/,articles,"['My', 'way', 'to', 'make', 'a', 'game', 'map', 'in', 'the', 'console', '.']"
Improving type safety and security with sequence containers,https://cplusplus.com/articles/SNywvCM9/,articles,"['Improving', 'type', 'safety', 'and', 'security', 'with', 'sequence', 'containers']"
"Inline function Advantages, Disadvantages, Performance and User Guidelines ?",https://cplusplus.com/articles/G3wTURfi/,articles,"['Inline', 'function', 'Advantages', ',', 'Disadvantages', ',', 'Performance', 'and', 'User', 'Guidelines', '?']"
Linked Lists,https://cplusplus.com/articles/Lw6AC542/,articles,"['Linked', 'Lists']"
"When to pass parameters by value, reference, and pointer",https://cplusplus.com/articles/z6vU7k9E/,articles,"['When', 'to', 'pass', 'parameters', 'by', 'value', ',', 'reference', ',', 'and', 'pointer']"
An alternate to using getch(),https://cplusplus.com/articles/yAUq5Di1/,articles,"['An', 'alternate', 'to', 'using', 'getch', '(', ')']"
Book Of Brilliant Things,https://cplusplus.com/articles/GLzyhbRD/,articles,"['Book', 'Of', 'Brilliant', 'Things']"
The clone pattern,https://cplusplus.com/articles/NTA0RXSz/,articles,"['The', 'clone', 'pattern']"
C++ type erasure,https://cplusplus.com/articles/oz18T05o/,articles,"['C++', 'type', 'erasure']"
"Copy constructors, assignment operators, and exception safe assignment",https://cplusplus.com/articles/y8hv0pDG/,articles,"['Copy', 'constructors', ',', 'assignment', 'operators', ',', 'and', 'exception', 'safe', 'assignment']"
Member Initialization List over Assignment,https://cplusplus.com/articles/1vbCpfjN/,articles,"['Member', 'Initialization', 'List', 'over', 'Assignment']"
The Act of Game Programming,https://cplusplus.com/articles/28hv0pDG/,articles,"['The', 'Act', 'of', 'Game', 'Programming']"
Multidimentional arrays are evil,https://cplusplus.com/articles/G8hv0pDG/,articles,"['Multidimentional', 'arrays', 'are', 'evil']"
How to use tags,https://cplusplus.com/articles/z13hAqkS/,articles,"['How', 'to', 'use', 'tags']"
WinAPI:  Being Unicode Friendly,https://cplusplus.com/articles/2w6AC542/,articles,"['WinAPI', ':', 'Being', 'Unicode', 'Friendly']"
Masking password input,https://cplusplus.com/articles/E6vU7k9E/,articles,"['Masking', 'password', 'input']"
DLL Symbols,https://cplusplus.com/articles/zTA0RXSz/,articles,"['DLL', 'Symbols']"
Pig Latin XD,https://cplusplus.com/articles/NvbCpfjN/,articles,"['Pig', 'Latin', 'XD']"
Converting numbers to strings and strings to numbers,https://cplusplus.com/articles/D9j2Nwbp/,articles,"['Converting', 'numbers', 'to', 'strings', 'and', 'strings', 'to', 'numbers']"
How To: Ask Questions The Smart Way,https://cplusplus.com/articles/Ny86b7Xj/,articles,"['How', 'To', ':', 'Ask', 'Questions', 'The', 'Smart', 'Way']"
The Conditional (or Ternary) Operator (?:),https://cplusplus.com/articles/1AUq5Di1/,articles,"['The', 'Conditional', '(', 'or', 'Ternary', ')', 'Operator', '(', '?', ':', ')']"
C++ LAPACK,https://cplusplus.com/articles/3UCRko23/,articles,"['C++', 'LAPACK']"
Template Instantiation,https://cplusplus.com/articles/yb07M4Gy/,articles,"['Template', 'Instantiation']"
How to parse command line parameters.,https://cplusplus.com/articles/DEN36Up4/,articles,"['How', 'to', 'parse', 'command', 'line', 'parameters', '.']"
Beginner Exercises,https://cplusplus.com/articles/N6vU7k9E/,articles,"['Beginner', 'Exercises']"
Named Pipes for data exchange in Windows Vista,https://cplusplus.com/articles/L6vU7k9E/,articles,"['Named', 'Pipes', 'for', 'data', 'exchange', 'in', 'Windows', 'Vista']"
Interaction between services and applications of user level in Windows Vista,https://cplusplus.com/articles/ETA0RXSz/,articles,"['Interaction', 'between', 'services', 'and', 'applications', 'of', 'user', 'level', 'in', 'Windows', 'Vista']"
Why system() is evil,https://cplusplus.com/articles/j3wTURfi/,articles,"['Why', 'system', '(', ')', 'is', 'evil']"
Prefer std solutions over hand written copycats,https://cplusplus.com/articles/zvbCpfjN/,articles,"['Prefer', 'std', 'solutions', 'over', 'hand', 'written', 'copycats']"
Headers and Includes:  Why and How,https://cplusplus.com/articles/Gw6AC542/,articles,"['Headers', 'and', 'Includes', ':', 'Why', 'and', 'How']"
Clear the screen,https://cplusplus.com/articles/4z18T05o/,articles,"['Clear', 'the', 'screen']"
Get IP address of target hostname,https://cplusplus.com/articles/4NywvCM9/,articles,"['Get', 'IP', 'address', 'of', 'target', 'hostname']"
Converting numbers to strings and strings to numbers,https://cplusplus.com/articles/Sy86b7Xj/,articles,"['Converting', 'numbers', 'to', 'strings', 'and', 'strings', 'to', 'numbers']"
C++ Pointer Basics (Part 1),https://cplusplus.com/articles/Dz18T05o/,articles,"['C++', 'Pointer', 'Basics', '(', 'Part', '1', ')']"
How to post a new topic,https://cplusplus.com/articles/o13hAqkS/,articles,"['How', 'to', 'post', 'a', 'new', 'topic']"
Multi-Dimensional Arrays,https://cplusplus.com/articles/NAUq5Di1/,articles,"['Multi-Dimensional', 'Arrays']"
Keep the console open long enough to see your program's output,https://cplusplus.com/articles/iw6AC542/,articles,"['Keep', 'the', 'console', 'open', 'long', 'enough', 'to', 'see', 'your', 'program', ""'s"", 'output']"
"Compilers, IDEs, Debuggers and the Jazz",https://cplusplus.com/articles/j8hv0pDG/,articles,"['Compilers', ',', 'IDEs', ',', 'Debuggers', 'and', 'the', 'Jazz']"
A bit of bitwise,https://cplusplus.com/articles/GhTbqMoL/,articles,"['A', 'bit', 'of', 'bitwise']"
Using cin to get user input.,https://cplusplus.com/articles/S3wTURfi/,articles,"['Using', 'cin', 'to', 'get', 'user', 'input', '.']"
strtok uses,https://cplusplus.com/articles/LTA0RXSz/,articles,"['strtok', 'uses']"
double - and how to use it,https://cplusplus.com/articles/Nb07M4Gy/,articles,"['double', '-', 'and', 'how', 'to', 'use', 'it']"
Rounding Algorithms,https://cplusplus.com/articles/1UCRko23/,articles,"['Rounding', 'Algorithms']"
